pair,arm,family,auroc_D_vs_A,auroc_D_vs_B,delta_DA_minus_DB,summary_min,auroc_pooled,pooled_minus_summary_min,ci_excludes_0p5_on_weak_arm
EGFR/HER2,vina_mean,docking,0.6805,0.2824,0.3981,0.2824,0.4985,0.2161,True
EGFR/HER2,rtm_min_z,docking,0.5329,0.2533,0.2796,0.2533,0.4051,0.1518,True
EGFR/HER2,gnina_cnn_min,docking,0.4906,0.2645,0.2261,0.2645,0.3872,0.1227,True
EGFR/HER2,heavy,baseline,0.6997,0.3694,0.3303,0.3694,0.5487,0.1793,False
EGFR/HER2,mw,baseline,0.6476,0.4163,0.2313,0.4163,0.5418,0.1255,False
EGFR/HER2,clogp,baseline,0.5263,0.4821,0.0442,0.4821,0.5061,0.024,False
EGFR/HER2,tpsa,baseline,0.703,0.4275,0.2755,0.4275,0.577,0.1495,False
AChE/BChE,vina_mean,docking,0.5304,0.5853,-0.0549,0.5304,0.5594,0.029,False
AChE/BChE,rtm_min_z,docking,0.4089,0.463,-0.0541,0.4089,0.4375,0.0286,False
AChE/BChE,gnina_cnn_min,docking,0.3585,0.3849,-0.0264,0.3585,0.3725,0.014,False
AChE/BChE,heavy,baseline,0.5941,0.582,0.0121,0.582,0.5877,0.0057,False
AChE/BChE,mw,baseline,0.5785,0.586,-0.0075,0.5785,0.5825,0.004,False
AChE/BChE,clogp,baseline,0.5481,0.4669,0.0812,0.4669,0.5052,0.0383,False
AChE/BChE,tpsa,baseline,0.7333,0.8009,-0.0676,0.7333,0.769,0.0357,False
PIK3CA/mTOR,vina_mean,docking,0.7222,0.6713,0.0509,0.6713,0.6987,0.0274,False
PIK3CA/mTOR,rtm_min_z,docking,0.5198,0.6713,-0.1515,0.5198,0.5897,0.0699,False
PIK3CA/mTOR,gnina_cnn_min,docking,0.5952,0.7037,-0.1085,0.5952,0.6453,0.0501,False
PIK3CA/mTOR,heavy,baseline,0.4643,0.463,0.0013,0.463,0.4637,0.0007,False
PIK3CA/mTOR,mw,baseline,0.4484,0.4722,-0.0238,0.4484,0.4594,0.011,False
PIK3CA/mTOR,clogp,baseline,0.5198,0.3102,0.2096,0.3102,0.4231,0.1129,False
PIK3CA/mTOR,tpsa,baseline,0.2599,0.4514,-0.1915,0.2599,0.3483,0.0884,True
